risk,train_f1,test_f1,gap,precision,recall,auc,avg_precision,threshold,model
crane_risk,0.842809364548495,0.6621621621621622,0.1806472023863328,0.5051546391752577,0.9607843137254902,0.9926316530802684,0.5373626866581305,0.14285714285714285,LogisticRegression
freeze_risk,0.8924731182795699,1.0,-0.10752688172043012,1.0,1.0,1.0,1.0,0.6666666865348816,XGBoost
heat_risk,0.7888631090487239,1.0,-0.21113689095127608,1.0,1.0,1.0,1.0,0.7021608948707581,XGBoost
flood_risk,0.9550561797752809,0.9954337899543378,-0.040377610179056944,0.990909090909091,1.0,0.9999678633605983,0.9986145412439169,0.6470588235294118,LogisticRegression
